Timestamp (s),Power (W)
.160835258,300.00
1.191817383,300.00
2.159537074,300.00
3.145399772,300.00
4.098155392,350.00
5.089213525,350.00
6.034078705,350.00
6.991805695,350.00
7.933902767,350.00
8.913337751,350.00
9.867069854,350.00
10.815162931,350.00
11.749517688,350.00
12.692444221,350.00
13.638594352,350.00
14.597671454,350.00
15.582479076,350.00
16.560562746,350.00
17.510160170,350.00
18.463839663,350.00
19.414656106,350.00
20.367217911,350.00
21.347427392,350.00
22.309110948,350.00
23.259059790,350.00
24.208642183,350.00
25.161994748,350.00
26.123094528,350.00
27.078859571,350.00
28.034106571,350.00
28.981730097,350.00
29.934172530,350.00
30.905873095,350.00
31.858865249,350.00
32.819665826,350.00
33.773459680,350.00
34.736582104,350.00
35.689702931,350.00
36.643030304,350.00
37.592860912,350.00
38.539001898,350.00
39.477757323,350.00
40.416314554,350.00
41.373659465,350.00
42.330968916,350.00
43.284224127,350.00
44.244299906,350.00
45.231017839,350.00
46.176380086,350.00
47.140509675,350.00
48.089508801,350.00
49.050223536,350.00
50.016650870,350.00
50.960581663,350.00
51.923533842,350.00
52.901107510,350.00
53.850999359,350.00
54.806439814,350.00
55.745236260,350.00
56.755080791,350.00
57.705458852,350.00
58.695938067,350.00
59.679926063,350.00
60.626225923,350.00
61.590174597,350.00
62.576757637,350.00
63.543732585,350.00
64.518541205,350.00
65.471037998,350.00
66.434352156,350.00
67.373794678,350.00
68.315080285,350.00
69.264385290,350.00
70.250366285,350.00
71.211497079,350.00
72.204668111,350.00
73.156871026,350.00
74.153402390,350.00
75.097024135,350.00
76.054547841,350.00
76.997666223,350.00
77.953751824,350.00
78.898424824,350.00
79.840392808,350.00
80.776283833,350.00
81.717635222,350.00
82.668524735,350.00
83.644057804,350.00
84.598476033,350.00
85.570503036,350.00
86.528919523,350.00
87.490216322,350.00
88.448806544,350.00
89.408445142,350.00
90.362251857,350.00
91.308554907,350.00
92.283635835,350.00
93.220074603,350.00
94.194574996,350.00
95.145043049,350.00
96.109387192,350.00
97.061195048,350.00
98.062920470,350.00
99.026647558,350.00
99.994458447,350.00
100.962118942,350.00
101.959959038,350.00
102.888528312,350.00
103.865530116,350.00
