Timestamp (s),Power (W)
.132324036,300.00
1.143554076,300.00
2.105567398,300.00
3.076411602,300.00
4.052750605,300.00
5.085358952,325.00
6.118416820,325.00
7.083379797,350.00
8.053327188,350.00
9.030448160,350.00
10.005791388,350.00
10.973639177,350.00
11.959189651,500.00
12.946701334,500.00
13.912891651,500.00
14.911506824,500.00
15.923683197,500.00
16.876240282,500.00
17.844712296,500.00
18.812970156,500.00
19.797333700,525.00
20.769915538,525.00
21.780840060,525.00
22.753179879,525.00
23.747398497,525.00
24.727343427,525.00
25.713789080,525.00
26.721962589,525.00
27.694581245,525.00
28.672419202,525.00
29.648930765,525.00
30.616348370,525.00
31.595562372,525.00
32.555375506,525.00
33.535121311,525.00
34.503664454,525.00
35.518695456,525.00
36.551686368,525.00
37.532457239,525.00
38.552248890,525.00
39.525094922,525.00
40.513205527,550.00
41.525800607,550.00
42.513996734,550.00
43.529989960,550.00
44.502102383,550.00
45.497242855,550.00
46.499023473,550.00
47.470374317,550.00
48.441288780,550.00
49.396466117,550.00
50.355102141,550.00
51.322798193,550.00
52.286959516,550.00
53.274324573,550.00
54.242878396,550.00
55.201954872,550.00
56.183247335,550.00
57.166305193,550.00
58.157214389,550.00
59.134050750,550.00
60.106805299,550.00
61.101162371,550.00
62.089471751,550.00
63.088802398,550.00
64.082259948,550.00
65.067055059,550.00
66.063548115,550.00
67.068751030,550.00
68.046685069,550.00
68.993744632,550.00
69.953971126,550.00
70.922473698,550.00
71.955141223,550.00
72.943901444,550.00
73.914438478,550.00
74.903272471,550.00
75.891039287,550.00
76.857249282,550.00
77.847589133,550.00
78.868166534,550.00
79.902280215,550.00
80.889894097,550.00
81.870550245,550.00
82.849220383,550.00
83.854190881,550.00
84.820079468,550.00
85.777357498,550.00
86.742051335,550.00
87.716960268,550.00
88.686544227,550.00
89.668572929,550.00
90.632197269,550.00
91.610886097,550.00
92.582001945,550.00
93.556683773,550.00
94.526107898,550.00
95.506122739,550.00
96.469027251,550.00
97.445333059,550.00
98.416853717,550.00
99.375655566,550.00
100.337963832,550.00
101.310831744,550.00
102.260683617,550.00
103.239042377,550.00
104.224664330,550.00
105.200057015,575.00
106.171604404,575.00
107.159848472,575.00
108.114403184,575.00
109.079409498,575.00
110.029760184,575.00
111.017266044,550.00
112.023500344,550.00
112.982971550,550.00
113.945339867,550.00
114.932359485,550.00
115.848973093,550.00
116.804463428,550.00
117.807236541,550.00
118.768521972,550.00
119.732842949,550.00
120.703440864,550.00
121.689507627,550.00
122.663018346,550.00
123.589717087,550.00
124.550275290,550.00
125.529328557,550.00
126.513868812,550.00
127.510067200,550.00
128.465109664,550.00
129.450341207,550.00
130.421751713,550.00
131.369681778,550.00
132.335663906,550.00
133.311942064,550.00
134.265766897,550.00
135.263140975,550.00
136.234269443,550.00
137.203528314,550.00
138.148841164,550.00
139.131492591,550.00
140.096429034,550.00
141.082371205,550.00
142.049107172,550.00
143.014303601,550.00
143.985255855,550.00
144.965198955,550.00
145.944544880,550.00
146.907966364,550.00
147.877646386,550.00
148.867262899,550.00
149.872001222,550.00
150.859819518,550.00
151.784787690,550.00
152.693286328,550.00
153.591320724,550.00
154.579678358,550.00
155.546075370,550.00
156.490006808,550.00
157.454728478,550.00
158.417684453,550.00
159.347382994,550.00
160.314598806,550.00
161.321664479,550.00
162.300528384,550.00
163.241377725,550.00
164.210231819,550.00
165.184216821,550.00
166.180773740,550.00
167.180887619,550.00
168.158166824,550.00
169.143001509,550.00
170.161125710,550.00
171.115267344,550.00
172.083614675,550.00
173.063146887,550.00
173.992865098,550.00
174.903533671,550.00
175.885353031,550.00
176.879077109,550.00
177.916232277,550.00
178.881830559,550.00
179.868129361,550.00
180.835586859,550.00
181.800715880,550.00
182.782470808,550.00
183.754027439,550.00
184.713405045,550.00
185.682131765,550.00
186.652575609,550.00
187.626919261,550.00
188.599678733,550.00
189.560875274,550.00
190.528954598,550.00
191.495912614,550.00
192.474939733,550.00
193.435363376,550.00
194.406051595,550.00
195.377716310,550.00
196.385801958,550.00
197.366310155,550.00
198.343296683,550.00
199.341542544,550.00
200.311816854,550.00
201.307756757,550.00
202.264712972,550.00
203.209991244,550.00
204.177543245,550.00
205.184204368,550.00
206.185110757,550.00
207.171700876,550.00
208.151069043,550.00
209.121634580,550.00
210.098919955,550.00
211.097666310,550.00
212.011342208,550.00
212.985664639,550.00
213.941358313,550.00
214.909912019,550.00
215.872856584,550.00
216.837317447,550.00
217.826605354,550.00
218.797385096,550.00
219.759326406,550.00
220.740399467,550.00
221.720867223,550.00
222.689411919,550.00
223.651484742,550.00
224.621883444,550.00
225.615209293,550.00
226.599496914,550.00
227.564154172,550.00
228.529867457,550.00
229.496823673,550.00
230.465801890,550.00
231.430908929,550.00
232.399883616,550.00
233.411002571,550.00
234.339454191,550.00
235.324313426,550.00
236.434650962,550.00
237.428252857,550.00
238.420692643,550.00
239.389524606,550.00
240.359359715,550.00
241.349446681,550.00
242.315071014,550.00
243.282945433,550.00
244.257850528,550.00
245.225742748,550.00
246.199582547,550.00
247.190045913,550.00
248.175500124,550.00
249.141234359,550.00
250.136470715,550.00
251.111997106,550.00
252.116511275,550.00
253.111617568,550.00
254.092870783,550.00
255.115710242,550.00
256.059393044,550.00
257.033531851,550.00
257.988446054,550.00
258.945635895,550.00
259.909721899,550.00
260.885633720,550.00
261.859567021,550.00
262.847078214,550.00
263.814580243,550.00
264.791883639,550.00
265.795067675,550.00
266.782677999,550.00
267.802874112,550.00
268.789148463,550.00
269.800873024,550.00
270.754555246,550.00
271.728487078,550.00
272.728860673,550.00
273.690137866,550.00
274.648622010,550.00
275.632914551,550.00
276.606632717,550.00
277.559486869,550.00
278.535176944,550.00
279.517092787,550.00
280.497813665,550.00
281.471936616,550.00
282.431978065,550.00
283.399410998,550.00
284.306934477,550.00
285.304218320,550.00
286.318366757,550.00
287.275255676,550.00
288.236743930,550.00
289.264997272,550.00
290.184934342,550.00
291.174479581,550.00
292.142460869,550.00
293.106652431,550.00
294.065106439,550.00
295.029521437,550.00
295.971007529,550.00
296.915834335,550.00
297.877077963,550.00
298.847280796,550.00
299.823506951,550.00
300.826721173,550.00
301.805189104,550.00
302.774774982,550.00
303.695241146,550.00
304.653029527,550.00
305.636264878,550.00
306.575725179,550.00
307.552212910,550.00
308.468851388,550.00
309.445192185,550.00
310.378719747,550.00
311.299881378,550.00
312.349666081,550.00
313.321698890,550.00
314.328614435,550.00
315.327199042,550.00
316.311768136,550.00
317.321573214,550.00
318.301445720,550.00
319.338987155,550.00
320.299918336,550.00
321.255002259,550.00
322.241240205,550.00
323.203906089,550.00
324.164864360,550.00
325.092498324,550.00
326.076723809,550.00
327.050411340,550.00
328.012700184,550.00
328.977688386,550.00
329.934424432,550.00
330.923064808,550.00
331.905172170,550.00
332.875715922,550.00
333.851613048,550.00
334.795352647,550.00
335.755684162,550.00
336.708006696,550.00
337.673745478,550.00
338.597085583,550.00
339.589866744,550.00
340.592697507,550.00
341.564274755,550.00
342.539469153,550.00
343.461756833,550.00
344.374136153,550.00
345.333235488,550.00
346.320926491,550.00
347.348371222,550.00
348.316456072,550.00
349.255328498,550.00
350.253917654,550.00
351.221702777,550.00
352.186735390,550.00
353.132203202,550.00
354.102498668,550.00
355.060057974,550.00
356.032185575,550.00
357.014314378,550.00
357.986512411,550.00
358.959429053,550.00
359.944465209,550.00
360.902799174,550.00
361.854836171,550.00
362.836512252,550.00
363.803950696,550.00
364.760817084,550.00
365.745532662,550.00
366.678020438,550.00
367.647475792,550.00
368.617941242,550.00
369.609573463,550.00
370.541506575,550.00
371.496568858,550.00
372.447773784,550.00
373.407873124,550.00
374.426330029,550.00
375.415435677,550.00
376.410266279,550.00
377.394016012,550.00
378.389531412,550.00
379.338413450,550.00
380.307310790,550.00
381.290286314,550.00
382.250863265,550.00
383.233837810,550.00
384.199912609,550.00
385.128940738,550.00
386.086943275,550.00
387.055065796,550.00
388.016801716,550.00
388.933722391,550.00
389.912731696,550.00
390.888344285,550.00
391.836006872,550.00
392.797667511,550.00
393.723053618,550.00
394.689238100,550.00
395.637362739,550.00
396.555450293,550.00
397.526712163,550.00
398.488840373,550.00
399.424233272,550.00
400.414889409,550.00
401.373832780,550.00
402.376263652,575.00
403.348571598,575.00
404.325802448,575.00
405.344841979,575.00
406.320633152,575.00
407.299353969,575.00
408.251852198,550.00
409.263844415,550.00
410.246245827,550.00
411.228079433,550.00
412.225861020,550.00
413.195921102,550.00
414.178883177,550.00
415.166138880,550.00
416.120350834,550.00
417.059649742,550.00
418.007876915,550.00
418.998311468,550.00
419.957718812,550.00
420.904464378,550.00
421.872909759,550.00
422.840471477,550.00
423.757685601,550.00
424.759581932,550.00
425.739776148,550.00
426.696142585,550.00
427.645619899,550.00
428.649724996,550.00
429.626544307,550.00
430.589818068,550.00
431.561293224,550.00
432.550794144,550.00
433.525551923,550.00
434.503442601,550.00
435.465510572,550.00
436.469065294,550.00
437.467696813,550.00
438.454743761,550.00
439.421030717,550.00
440.347959465,550.00
441.343181279,550.00
442.307118476,550.00
443.291804535,550.00
444.268439431,550.00
445.279684526,550.00
446.200006749,550.00
447.173886966,550.00
