Timestamp (s),Power (W)
.125378697,300.00
1.159057675,300.00
2.196833093,325.00
3.229250910,325.00
4.202013158,325.00
5.195661891,325.00
6.137626241,325.00
7.114120991,325.00
8.076083633,400.00
9.029202817,400.00
10.034826266,400.00
11.009406205,400.00
11.964315311,400.00
12.944837266,400.00
13.911062159,400.00
14.876210096,400.00
15.828230262,400.00
16.795740927,400.00
17.745279892,400.00
18.729289192,400.00
19.693455445,400.00
20.672678717,400.00
21.637830065,400.00
22.620781349,400.00
23.601427165,400.00
24.561834034,400.00
25.556459837,400.00
26.526243857,400.00
27.485100788,400.00
28.446914591,400.00
29.398995545,400.00
30.371299217,400.00
31.327646425,400.00
32.300025529,400.00
33.282131664,400.00
34.248999202,400.00
35.211215945,400.00
36.162470748,400.00
37.109772574,400.00
38.093831766,400.00
39.070891486,400.00
40.052281312,400.00
41.020524724,400.00
42.003684174,400.00
42.974413237,400.00
43.936222891,400.00
44.887792232,400.00
45.873327370,400.00
46.833936214,400.00
47.800321080,400.00
48.768093811,400.00
49.740615248,400.00
50.699928810,400.00
51.681665155,400.00
52.647225851,400.00
53.602211566,400.00
54.555379746,400.00
55.527316090,400.00
56.489081002,400.00
57.488055192,400.00
58.481359762,400.00
59.417304747,400.00
60.365147436,400.00
61.330431646,400.00
62.310116630,400.00
63.258009260,400.00
64.215873616,400.00
65.205441804,400.00
66.167840872,400.00
67.169060497,400.00
68.137045323,400.00
69.108920985,400.00
70.081992636,400.00
71.042612060,400.00
72.000818935,400.00
72.974635009,400.00
73.943457433,400.00
74.904994098,400.00
75.858525907,400.00
76.851332629,400.00
77.836110104,400.00
78.840469330,400.00
79.810813751,400.00
80.816141260,400.00
81.780683519,400.00
82.752615239,400.00
83.733857858,400.00
84.705620415,400.00
85.709932479,400.00
86.678961978,400.00
87.636730871,400.00
88.683049229,400.00
89.676513986,400.00
90.636469886,400.00
91.645104984,400.00
92.592200520,400.00
93.571454111,400.00
94.543396403,400.00
95.523778541,400.00
96.493464939,400.00
97.463464374,400.00
98.429763838,400.00
99.416916852,400.00
100.386573739,400.00
101.399496861,400.00
102.349311353,400.00
103.316700935,400.00
104.300814814,400.00
105.263085230,400.00
106.233185038,400.00
107.210258805,400.00
108.171635090,400.00
109.130760779,400.00
110.101005100,400.00
111.055136537,400.00
112.001431344,400.00
113.005458199,400.00
114.008268675,400.00
114.959776749,400.00
115.903543043,400.00
116.882599409,400.00
117.864494465,400.00
118.885164946,400.00
119.851930482,400.00
120.839653869,400.00
121.808786183,400.00
122.781595677,400.00
123.720290698,400.00
124.699832985,400.00
125.658502514,400.00
126.630028256,400.00
127.600615656,400.00
128.554065056,400.00
129.511755561,400.00
130.483150970,400.00
131.397850805,400.00
132.364518019,400.00
133.330451824,400.00
134.278034632,400.00
135.275660731,400.00
136.249521711,400.00
137.251677400,400.00
138.221757173,400.00
139.174287326,400.00
140.133971884,400.00
141.091951109,400.00
142.058797593,400.00
143.010794312,400.00
143.980377352,400.00
144.937892267,400.00
145.913095425,400.00
146.878086313,400.00
147.857258179,400.00
148.831732729,400.00
149.800423148,400.00
150.764301878,400.00
151.721337511,400.00
152.663095169,400.00
153.614145733,400.00
154.562896991,400.00
155.548090233,400.00
156.521483934,400.00
157.525600630,400.00
158.478878858,400.00
159.447179306,400.00
160.414078818,400.00
161.366959497,400.00
162.325747311,400.00
163.274527800,400.00
164.253634392,400.00
165.177880048,400.00
166.140882365,400.00
167.111667944,400.00
168.070270973,400.00
169.053450055,400.00
170.023503215,400.00
170.993602737,400.00
172.074619628,400.00
173.099084832,400.00
174.081213619,400.00
175.026789488,400.00
175.969780865,400.00
176.944022148,400.00
177.884880682,400.00
178.823824429,400.00
179.789911642,400.00
