Timestamp (s),Power (W)
.033502849,200.00
1.389987860,200.00
2.684039603,175.00
3.895892359,175.00
5.174208375,175.00
6.394874033,175.00
7.624682952,175.00
9.383833950,175.00
10.614564027,175.00
11.844116546,175.00
13.156846569,175.00
14.425618085,175.00
15.654015087,175.00
16.864538926,175.00
18.143468221,175.00
19.404331354,175.00
20.613629196,175.00
21.856209527,175.00
23.144732962,175.00
24.355884960,175.00
25.554020825,175.00
26.904707688,175.00
28.184448901,175.00
29.437195011,175.00
30.698881462,175.00
31.914925610,175.00
33.125417289,175.00
34.375780845,175.00
35.634795101,175.00
36.835483401,175.00
38.083753721,175.00
39.364403732,175.00
41.544459281,175.00
42.844194291,175.00
44.085238306,175.00
45.354166422,175.00
46.633902875,175.00
47.873036214,175.00
49.113804429,175.00
50.376643958,175.00
51.683913072,175.00
52.915498147,175.00
54.156863241,175.00
55.414753860,175.00
57.363617218,175.00
58.624285911,175.00
59.854487109,175.00
61.107473099,175.00
62.354665140,175.00
63.594226798,175.00
64.794279300,175.00
66.075529070,175.00
67.356953639,175.00
68.655419612,175.00
69.873994915,175.00
71.136545124,175.00
72.815687412,175.00
74.024048856,175.00
75.315299485,175.00
76.585931357,175.00
77.796107477,175.00
78.993915383,175.00
80.244373418,175.00
81.555288125,175.00
82.814614941,175.00
84.044527659,175.00
85.275931775,175.00
86.534933111,175.00
88.575147953,175.00
89.764705426,175.00
90.980100725,175.00
92.207176399,175.00
93.444625451,175.00
94.665134739,175.00
95.857333247,175.00
97.104420398,175.00
98.364519802,175.00
99.604777608,175.00
100.804955099,175.00
102.114204919,175.00
103.334733006,175.00
104.996149678,175.00
106.234699767,175.00
107.443628440,175.00
108.673959787,175.00
109.894046196,175.00
111.133305164,175.00
112.425506579,175.00
113.623350115,175.00
114.854230421,175.00
116.096540023,175.00
117.365160929,175.00
118.634183473,175.00
120.313333347,175.00
121.536397870,175.00
122.733821407,175.00
123.963750954,175.00
125.294071889,175.00
126.525540714,175.00
127.753941105,175.00
128.964409414,175.00
130.263477175,175.00
131.525531575,175.00
132.715482248,175.00
133.944660957,175.00
135.193430505,175.00
136.464031246,175.00
137.686477290,175.00
138.903930345,175.00
140.124696632,175.00
141.343984082,175.00
142.523224458,175.00
143.774240481,175.00
145.026465782,175.00
146.314736165,175.00
147.525576794,175.00
148.825053354,175.00
150.053195266,175.00
152.308824715,175.00
153.494109438,175.00
154.734475364,175.00
155.975192729,175.00
157.164748002,175.00
158.404666689,175.00
159.634751596,175.00
160.903569582,175.00
162.174435603,175.00
163.364046756,175.00
164.563166249,175.00
165.794371155,175.00
167.034213761,175.00
168.345471057,175.00
169.634360479,175.00
170.855472046,175.00
172.084073117,175.00
173.404138393,175.00
174.676652050,175.00
175.874779426,175.00
177.084054858,175.00
178.335646960,175.00
179.603777506,175.00
180.834450773,175.00
182.057425495,175.00
183.765058389,175.00
185.034694212,175.00
186.293790978,175.00
187.554099581,175.00
188.844457361,175.00
190.095179145,175.00
191.424985880,175.00
192.674624706,175.00
193.883763818,175.00
195.114721084,175.00
196.374107769,175.00
197.654092011,175.00
199.864820116,175.00
201.133915701,175.00
202.434425259,175.00
203.663455008,175.00
204.894180875,175.00
206.163642698,175.00
207.422587145,175.00
208.684466545,175.00
209.894491655,175.00
211.164676197,175.00
212.469177067,175.00
213.683678327,175.00
215.703062999,175.00
217.015702211,175.00
218.324646071,175.00
219.644041709,175.00
221.006872014,175.00
222.403078329,175.00
223.685399126,175.00
224.984326807,175.00
226.294424385,175.00
227.624409520,175.00
228.886217120,175.00
230.184605323,175.00
231.594799128,175.00
232.834595455,175.00
234.134131535,175.00
235.453883532,175.00
236.724361794,175.00
237.975977135,175.00
239.266391235,175.00
240.524094564,175.00
241.819248933,175.00
243.053951791,175.00
244.284354778,175.00
245.574349798,175.00
247.493628202,175.00
248.774110802,175.00
250.045601182,175.00
251.325959303,175.00
252.573386773,175.00
253.794158941,175.00
255.075011621,175.00
256.374774140,175.00
