Timestamp (s),Power (W)
.036329768,175.00
1.217892533,175.00
2.499580819,175.00
3.674636198,200.00
4.874913246,200.00
6.084822835,200.00
7.285073803,200.00
8.614918154,200.00
9.824118224,200.00
11.113958294,200.00
12.314998221,225.00
13.543542733,225.00
14.925024860,225.00
16.121422796,225.00
17.344716678,225.00
18.583803137,225.00
19.834213455,225.00
21.063206376,225.00
22.262870074,225.00
23.474443629,225.00
24.663503629,225.00
25.845511003,225.00
27.022959106,225.00
28.175242098,225.00
29.364513778,225.00
31.248814077,225.00
32.454261325,225.00
33.673564384,225.00
34.874031001,225.00
36.093663380,225.00
37.304136378,225.00
38.553061259,225.00
39.824594895,225.00
40.965393110,225.00
42.161245936,225.00
43.404167109,225.00
44.574591786,225.00
45.733945965,225.00
46.913069584,225.00
48.061964104,225.00
49.264317957,225.00
50.482743779,225.00
51.733837255,225.00
52.984405173,225.00
54.195440129,225.00
55.403599691,225.00
56.593969328,225.00
57.833635947,225.00
59.056124041,225.00
60.365261642,225.00
62.055868966,225.00
63.314541268,225.00
64.593856968,225.00
65.871471952,225.00
67.093847566,225.00
68.284133883,225.00
69.473532882,225.00
70.723803761,225.00
71.964447738,225.00
73.143405838,225.00
74.363723655,225.00
75.513408933,225.00
76.721781695,225.00
78.632989621,225.00
79.773353717,225.00
81.022455318,225.00
82.184188606,225.00
83.403753636,225.00
84.572998930,225.00
85.764164619,225.00
86.950810557,225.00
88.113551705,225.00
89.304426875,225.00
90.504772304,225.00
91.686733052,225.00
92.853675912,225.00
94.354774357,225.00
95.503144855,225.00
96.674092786,225.00
97.843290680,225.00
98.993680254,225.00
100.121337274,225.00
101.255612921,225.00
102.422674780,225.00
103.543418295,225.00
104.693389870,225.00
105.854131302,225.00
107.012374259,225.00
108.154993528,225.00
110.215159174,225.00
111.384034270,225.00
112.652849357,225.00
113.834186987,225.00
115.074371254,225.00
116.282747147,225.00
117.524774530,225.00
118.761738364,225.00
119.963860190,225.00
121.172706123,225.00
122.405139246,225.00
123.633369338,225.00
124.915627238,225.00
126.432639131,225.00
127.623320700,225.00
128.792685955,225.00
129.985251560,225.00
131.143717397,225.00
132.343999987,225.00
133.495214679,225.00
134.664141454,225.00
135.854600144,225.00
136.992388784,225.00
138.123702757,225.00
139.313092169,225.00
140.483587741,225.00
141.972832572,225.00
143.143421863,225.00
144.342952775,225.00
145.533840304,225.00
146.694916536,225.00
147.883048267,225.00
149.105348103,225.00
150.254910645,225.00
151.430167976,225.00
152.645690706,225.00
153.812408093,225.00
155.053905771,225.00
156.253528213,225.00
157.843192075,225.00
159.013925855,225.00
160.164002555,225.00
161.322695199,225.00
162.504436477,225.00
163.692373262,225.00
164.914962098,225.00
166.074330980,225.00
167.283107283,225.00
168.452815785,225.00
169.643121805,225.00
170.812905187,225.00
171.985524683,225.00
173.282736289,225.00
174.503500569,225.00
175.675318506,225.00
176.954400509,225.00
178.143296292,225.00
179.304812010,225.00
180.511375878,225.00
181.683459455,225.00
182.844155695,225.00
184.074236236,225.00
185.313174279,225.00
186.512402041,225.00
187.762849222,225.00
189.203679741,225.00
190.463514223,225.00
191.681639227,225.00
192.875092322,225.00
194.083882665,225.00
195.304032346,225.00
196.523091589,225.00
197.714135968,225.00
198.913699370,225.00
200.114858448,225.00
201.334334130,225.00
202.613223334,225.00
203.853482214,225.00
205.353063416,225.00
206.562340519,225.00
207.764333476,225.00
209.005496315,225.00
210.265019637,225.00
211.476550935,225.00
212.743698562,225.00
214.043937322,225.00
215.253345184,225.00
216.464274684,225.00
217.703924845,225.00
218.984877445,225.00
221.192905871,225.00
222.452335553,225.00
223.692838753,225.00
224.894088151,225.00
226.155921349,225.00
227.392905396,225.00
228.662566178,225.00
229.953060838,225.00
231.203630658,225.00
232.444361577,225.00
233.694952397,225.00
234.943311382,225.00
236.242761904,225.00
237.454827081,225.00
238.715243441,225.00
239.994499804,225.00
241.283504627,225.00
242.564807345,225.00
243.811404733,225.00
245.003706270,225.00
246.202862792,225.00
247.472973493,225.00
248.763278554,225.00
250.033892893,225.00
251.283888795,225.00
252.993759576,225.00
254.273914537,225.00
255.524514637,225.00
256.793971979,225.00
258.095615897,225.00
259.355068539,225.00
260.574074622,225.00
261.813920624,225.00
263.064309604,225.00
264.315023624,225.00
265.603114129,225.00
266.854390707,225.00
268.901121535,225.00
270.144207730,225.00
271.354224231,225.00
272.616750667,225.00
273.852790716,225.00
275.073236596,225.00
276.323764017,225.00
277.553043639,225.00
278.803123259,225.00
280.053687746,225.00
281.292129814,225.00
282.573371487,225.00
283.974817910,225.00
285.243997284,225.00
286.484619349,225.00
287.793178974,225.00
289.084745829,225.00
290.405126673,225.00
291.663275827,225.00
292.912583676,225.00
294.164475921,225.00
295.424552391,225.00
296.734856774,225.00
298.003944788,225.00
300.016368899,225.00
301.242837348,225.00
302.474577268,225.00
303.742329845,225.00
305.061915811,225.00
306.324366917,225.00
307.592774053,225.00
308.822564656,225.00
310.073041183,225.00
311.342377798,225.00
312.604100585,225.00
313.853700674,225.00
315.244186115,225.00
316.493824324,225.00
317.760200543,225.00
319.023841847,225.00
320.233821805,225.00
321.453695146,225.00
322.712356539,225.00
323.983404350,225.00
325.245007818,225.00
326.473440263,225.00
327.683139302,225.00
328.953301315,225.00
330.224324926,225.00
331.693721069,225.00
332.917114684,225.00
334.152236318,225.00
335.394489579,225.00
336.613544682,225.00
337.834293021,225.00
339.094421771,225.00
340.345144338,225.00
341.614413792,225.00
342.890213340,225.00
344.182757307,225.00
345.433709181,225.00
347.564026284,225.00
348.813275761,225.00
350.074706658,225.00
351.374608853,225.00
353.206952195,225.00
354.503637755,225.00
355.772808160,225.00
357.013653810,225.00
358.233256854,225.00
359.465220078,225.00
360.703748372,225.00
361.941585667,225.00
363.384273193,225.00
364.602443039,225.00
365.854641471,225.00
367.133257141,225.00
368.333821855,225.00
