Timestamp (s),Power (W)
.079121039,576.00
1.381900209,576.00
2.512006407,576.00
3.663031830,576.00
5.098019799,576.00
6.369228869,576.00
7.536009982,576.00
8.736270866,576.00
9.827069871,576.00
10.934997975,776.00
12.166766760,776.00
13.294284887,776.00
14.439182122,776.00
15.856553948,776.00
16.934240366,776.00
18.009414761,776.00
19.131452865,776.00
20.257927836,776.00
21.436440950,776.00
22.637238110,784.00
23.785801910,784.00
24.862018053,784.00
25.948308270,784.00
27.189229153,784.00
28.435986960,784.00
29.640576416,784.00
30.779717313,784.00
31.874564418,784.00
33.006781992,784.00
34.112111383,784.00
35.552749155,784.00
36.735542423,784.00
37.805611539,784.00
38.912385015,784.00
39.978524727,784.00
41.075833387,784.00
42.220902519,784.00
43.246077195,784.00
44.376414820,784.00
45.664772972,784.00
46.829967724,784.00
47.943031522,784.00
49.028570943,784.00
50.206540191,784.00
51.454190695,784.00
52.575814764,784.00
53.766448722,784.00
54.921684081,784.00
56.027890936,784.00
57.405439292,784.00
58.708016911,784.00
59.894895464,784.00
60.995816078,784.00
62.082962353,784.00
63.145094293,784.00
64.178265879,784.00
65.490108083,784.00
66.628071860,784.00
67.779138308,784.00
68.888422846,784.00
70.049440941,784.00
71.173502427,784.00
72.225786820,784.00
73.221725897,784.00
74.341671522,784.00
75.702084902,784.00
76.828831695,784.00
77.921997096,784.00
79.024952018,784.00
80.121922233,784.00
81.494593006,784.00
82.670169184,784.00
83.855535649,784.00
84.989128294,784.00
86.112051022,784.00
87.582943299,784.00
88.828164684,784.00
89.919566653,784.00
91.075488609,784.00
92.319244249,784.00
93.434716716,784.00
94.523013918,784.00
95.864460860,784.00
96.973855110,784.00
98.076075379,784.00
99.165578784,784.00
100.307716047,784.00
101.427885822,784.00
102.595010447,792.00
103.767025341,792.00
105.152188764,792.00
106.340123913,792.00
107.500418409,792.00
108.645116372,792.00
109.792223536,792.00
110.946924175,792.00
112.252162037,792.00
113.346779296,784.00
114.523276658,784.00
115.664006162,784.00
116.912012765,784.00
118.246819430,784.00
119.337450736,784.00
120.463331678,784.00
121.649771584,784.00
122.775191988,784.00
123.962860961,784.00
125.422816528,792.00
126.740357073,792.00
127.941861123,792.00
129.099013771,792.00
130.264638472,792.00
131.407855461,792.00
132.687173310,792.00
133.804304846,792.00
135.101201737,792.00
136.384934816,792.00
137.529569250,792.00
138.693045352,792.00
139.900745075,792.00
141.092740488,792.00
142.177932043,792.00
143.289037721,792.00
144.498179467,792.00
145.683915310,792.00
146.852330723,792.00
148.156690543,792.00
149.359034780,792.00
150.466713601,792.00
151.640752521,792.00
152.762135661,792.00
153.980007367,792.00
155.421097383,792.00
156.711090139,792.00
157.859935307,792.00
158.996001309,792.00
160.151691754,792.00
161.291888407,792.00
162.442616308,792.00
163.732104010,792.00
164.935173698,792.00
166.210109007,792.00
167.319550301,792.00
168.430936801,792.00
169.537451011,792.00
170.673538542,792.00
171.864641468,792.00
173.042527793,792.00
174.280414252,792.00
175.415743665,792.00
176.570666821,792.00
177.949079727,792.00
179.120075355,792.00
180.283635211,792.00
181.417004618,792.00
182.649018404,792.00
183.841725044,792.00
185.096665019,792.00
186.392911546,792.00
187.499911379,792.00
188.614082029,792.00
189.719927486,792.00
