Timestamp (s),Power (W)
.084570195,576.00
1.280320386,576.00
2.405498168,576.00
3.585626012,576.00
4.622158855,576.00
5.649082209,576.00
6.981137169,576.00
8.219162591,576.00
9.498251483,576.00
10.598714195,576.00
11.742358391,768.00
12.862347935,768.00
13.944511781,768.00
15.021227494,768.00
16.112153279,768.00
17.411688801,768.00
18.618993225,768.00
19.755355026,768.00
20.830492776,768.00
21.917040370,768.00
22.952814331,776.00
24.125410646,776.00
25.267802601,776.00
26.427363700,776.00
27.630018038,776.00
28.745570897,776.00
29.906207308,776.00
31.017163301,776.00
32.087076009,776.00
33.133217870,776.00
34.286978988,2040.00
35.542218548,2040.00
36.985223487,2040.00
38.198570645,2040.00
39.339838819,2040.00
40.599659770,2040.00
41.755518883,2040.00
42.893600871,2040.00
44.021478638,2040.00
45.061627186,2040.00
46.148370006,784.00
47.513837954,784.00
48.671479544,784.00
49.771562853,784.00
50.848034257,784.00
51.958234190,784.00
53.028329264,784.00
54.156794138,784.00
55.306911202,784.00
56.391802307,784.00
57.525170748,784.00
58.749502768,784.00
59.892205593,784.00
61.087755813,784.00
62.184788947,784.00
63.261177322,784.00
64.363175239,784.00
65.501502441,784.00
66.801624942,784.00
68.144006504,784.00
69.244034870,784.00
70.419666593,784.00
71.626980513,784.00
72.807760919,784.00
73.939513539,784.00
75.010521277,784.00
76.106323091,784.00
77.414992292,784.00
78.533666990,784.00
79.677775027,784.00
80.833014157,784.00
82.009352147,784.00
83.116038201,784.00
84.225148287,784.00
85.278318366,784.00
86.360233767,784.00
87.730995847,784.00
88.830924965,784.00
89.927146750,784.00
91.039247272,784.00
92.092244476,792.00
93.254756038,792.00
94.322602749,792.00
95.455367273,792.00
96.637212358,792.00
97.957996152,792.00
99.093163739,792.00
100.181216024,792.00
101.285296504,792.00
102.335373324,792.00
103.486582731,784.00
104.652300834,784.00
105.813725513,784.00
107.215719075,784.00
108.368732077,784.00
109.471546233,784.00
110.611701309,784.00
111.809466533,784.00
112.939218808,784.00
114.050950058,784.00
115.121840717,792.00
116.214133552,792.00
117.330008691,792.00
118.450326389,792.00
119.534855683,792.00
120.691490234,792.00
122.101512024,792.00
123.351288807,792.00
124.429184388,792.00
125.557530680,792.00
126.687499713,792.00
127.936285667,792.00
129.043922317,792.00
130.165630717,792.00
131.221256248,792.00
132.244001839,792.00
133.379208432,792.00
134.456114540,792.00
135.586667086,792.00
136.727314058,792.00
137.878113281,792.00
139.143560309,792.00
140.270596294,792.00
141.345855813,792.00
142.671070372,792.00
143.819225415,792.00
144.925574602,792.00
146.038421594,792.00
147.184519768,792.00
148.242342264,792.00
149.306419851,792.00
150.569463398,792.00
151.774242064,792.00
152.929495912,792.00
154.167524552,792.00
155.266403202,792.00
156.346706419,792.00
157.407515813,792.00
158.519106028,792.00
159.618472297,792.00
160.678486022,792.00
161.932275255,792.00
163.157437294,792.00
164.373263678,792.00
165.482187196,792.00
166.591456291,792.00
167.972970876,792.00
169.145118723,792.00
170.233968751,792.00
171.375133951,792.00
172.429894751,792.00
173.617696509,792.00
174.753798129,792.00
175.990002076,792.00
177.102336437,792.00
178.229224694,792.00
179.421275759,792.00
180.544183281,792.00
181.728459742,792.00
183.034187930,792.00
184.140568029,792.00
185.355534771,792.00
186.431903864,792.00
187.500678999,792.00
188.547718926,792.00
189.675008112,792.00
190.789254241,792.00
192.007844504,792.00
193.308264292,792.00
194.381075955,792.00
195.519804154,792.00
196.688990432,792.00
197.794957221,792.00
198.852771352,792.00
199.914647121,792.00
201.093192672,792.00
202.424138935,792.00
203.495904550,792.00
204.573180764,792.00
205.703580972,792.00
206.837046326,792.00
208.075579716,792.00
209.157893530,792.00
210.255872998,792.00
211.329757783,792.00
212.421006918,792.00
213.546970916,792.00
214.672536540,792.00
215.791820507,792.00
216.914987709,792.00
218.045097406,792.00
219.211137154,792.00
220.266650701,792.00
221.377091056,792.00
222.760642216,792.00
223.877621708,792.00
225.011231301,792.00
226.225477445,792.00
227.428440837,792.00
228.657668456,792.00
229.782799528,792.00
230.948325809,792.00
232.100927558,792.00
233.179099328,792.00
234.292024204,792.00
235.392993514,792.00
236.534964237,792.00
237.606501060,792.00
238.684082902,792.00
239.817136849,792.00
240.877578070,792.00
242.298197581,792.00
243.517603549,792.00
244.634375724,792.00
245.695486411,792.00
246.909936952,792.00
248.075361131,792.00
249.228000206,792.00
250.321271173,792.00
251.447350418,792.00
252.609451013,792.00
253.703099007,792.00
254.765903435,792.00
255.833698943,792.00
256.982816846,792.00
258.090555574,792.00
259.214510899,792.00
260.302987891,792.00
261.423202504,792.00
262.708955210,792.00
263.782282805,792.00
264.887638759,792.00
266.024015812,792.00
267.232439257,792.00
268.360847687,792.00
269.504118241,792.00
270.633421471,792.00
271.732725239,792.00
272.817292284,792.00
273.931769505,792.00
275.036485490,792.00
276.185138369,792.00
277.250621589,792.00
278.370675759,792.00
279.456181862,792.00
280.644141986,792.00
281.868234980,792.00
283.264113789,792.00
284.348613940,792.00
285.454608403,792.00
286.528710010,792.00
288.101331159,792.00
289.337643578,792.00
290.513085071,792.00
291.681253887,792.00
292.827813343,792.00
293.995817706,792.00
295.088136553,792.00
296.222226728,792.00
297.282638984,792.00
298.529214941,792.00
299.686755624,792.00
300.812682355,792.00
302.266975117,792.00
303.455177756,792.00
304.555489068,792.00
305.671190003,792.00
306.824334220,792.00
307.961625118,792.00
309.118995470,792.00
310.227566007,792.00
311.389735964,792.00
312.638096866,792.00
313.728032042,792.00
314.847037489,792.00
316.016274157,792.00
317.105654790,792.00
318.235567154,792.00
319.358740020,792.00
320.495038834,792.00
321.638292506,792.00
323.121381222,792.00
324.261806919,792.00
325.384485361,792.00
326.472323216,792.00
327.609842676,792.00
328.729794517,792.00
329.816138357,792.00
330.936517068,792.00
332.042651661,792.00
333.344379496,792.00
334.544657559,792.00
335.692366007,792.00
336.753060246,792.00
337.849365128,792.00
338.947441504,792.00
340.067163403,792.00
341.204628398,792.00
342.645044905,792.00
343.824158085,792.00
344.862824312,792.00
345.927279536,792.00
346.996306555,792.00
348.402697302,792.00
349.497653450,792.00
350.574031606,792.00
351.711742127,792.00
352.836774478,792.00
353.955968012,792.00
355.022078454,792.00
356.120723345,792.00
357.302010792,792.00
358.443381476,792.00
359.533509523,792.00
360.597224848,792.00
361.741610237,792.00
363.137226941,792.00
364.257713994,792.00
365.334083255,792.00
366.455132497,792.00
367.606875434,792.00
368.771138247,792.00
369.808028405,792.00
370.875362211,792.00
372.202732821,792.00
373.488364680,792.00
374.671235824,792.00
375.835176580,792.00
