Timestamp (s),Power (W)
.084002841,560.00
1.330274867,560.00
2.407241228,560.00
3.455917938,560.00
4.599293236,560.00
5.777547207,560.00
6.873194361,560.00
7.921443464,560.00
9.059390314,560.00
10.076971496,560.00
11.145357000,744.00
12.279232367,744.00
13.395151729,744.00
14.777211723,744.00
15.964290772,744.00
17.021205141,744.00
18.110608924,744.00
19.170073680,744.00
20.237881646,744.00
21.254272198,744.00
22.284567350,752.00
23.490061975,752.00
24.580268902,752.00
25.679872930,752.00
26.756789092,752.00
27.872888220,752.00
28.927803745,752.00
30.030619931,752.00
31.112138399,752.00
32.213871196,752.00
33.303656716,752.00
34.644107617,752.00
35.779152063,752.00
36.855129131,752.00
37.990306637,752.00
39.019387545,752.00
40.151772385,752.00
41.215670740,752.00
42.266682460,752.00
43.374828458,752.00
44.646391414,752.00
45.858295915,752.00
46.921283397,752.00
47.938266020,752.00
49.023736866,752.00
50.064594394,752.00
51.129271189,752.00
52.146735218,752.00
53.206080289,752.00
54.283674730,752.00
55.382385322,752.00
56.462045401,752.00
57.594426651,752.00
58.724333858,752.00
59.899040863,752.00
61.001773567,752.00
62.040225094,752.00
63.056014913,752.00
64.185276185,752.00
65.453949254,752.00
66.495365187,752.00
67.538162802,752.00
68.679791015,752.00
69.826271021,752.00
70.944116321,752.00
72.000114128,752.00
73.090147898,752.00
74.167639388,752.00
75.456822951,752.00
76.490822171,752.00
77.518199552,752.00
78.635872676,752.00
79.792109806,752.00
80.803310589,752.00
81.857445429,752.00
82.933637102,752.00
83.982109973,752.00
85.046415238,752.00
86.131611163,752.00
87.236610551,752.00
88.301375720,752.00
89.500944721,752.00
90.530783012,752.00
91.613585691,752.00
92.666194194,752.00
93.685596788,752.00
94.970570262,752.00
96.158920503,752.00
97.258240904,752.00
98.346539364,752.00
99.478081692,752.00
100.445080976,752.00
101.494358798,752.00
102.587685459,752.00
103.607883314,752.00
104.837376205,752.00
105.845784908,752.00
106.894843913,752.00
107.943870744,752.00
108.994069212,752.00
110.072653418,752.00
111.090022370,752.00
112.131651968,752.00
113.286606418,752.00
114.425669814,752.00
115.461598576,752.00
116.545294639,752.00
117.586611418,752.00
118.588864297,752.00
119.879704905,752.00
120.901559386,752.00
121.947100186,752.00
122.984641217,752.00
124.070596400,752.00
125.518814047,752.00
126.578912043,752.00
127.567620763,752.00
128.661725275,752.00
129.741756265,752.00
130.856057852,752.00
131.977851731,752.00
132.989753521,752.00
134.078018743,752.00
135.323776863,752.00
136.478362018,752.00
137.509086644,752.00
138.572625728,752.00
139.642278851,752.00
140.685857184,752.00
141.734341387,752.00
142.798093474,752.00
143.842454016,752.00
144.888811456,752.00
145.972274592,752.00
147.008267066,760.00
148.085007762,760.00
149.132441053,760.00
150.147219252,760.00
151.148640403,760.00
152.154321827,760.00
153.108947894,760.00
154.160315722,760.00
155.485693705,760.00
156.510630929,760.00
157.502656313,760.00
158.546778257,760.00
159.774415977,760.00
160.824296160,760.00
161.982140490,760.00
163.011321555,760.00
164.049580153,760.00
165.430806895,760.00
166.434748805,760.00
167.527776415,760.00
168.645602103,760.00
169.720941316,760.00
170.825192952,760.00
171.869781208,760.00
172.872805144,760.00
173.966226714,760.00
174.998102839,760.00
176.029661572,760.00
177.134597886,760.00
178.211592054,760.00
179.569541760,760.00
180.723848183,760.00
181.874029908,760.00
182.865592443,760.00
183.919178576,760.00
185.008499542,760.00
186.230773020,760.00
187.273840185,760.00
188.343075056,760.00
189.430979340,760.00
190.554535727,760.00
191.699213301,760.00
192.853514485,760.00
193.989647018,760.00
195.256010448,760.00
196.413471490,760.00
197.551705958,760.00
198.644859721,760.00
199.766658403,760.00
200.851188012,760.00
201.900658330,760.00
202.930848002,760.00
204.136641999,760.00
205.175709177,760.00
206.269314671,760.00
207.299643300,760.00
208.444669066,760.00
209.546125640,760.00
210.567024281,760.00
211.676661285,760.00
212.726195972,760.00
213.812505261,760.00
215.306044392,760.00
216.432120436,760.00
217.559228242,760.00
218.645919095,760.00
219.721335481,760.00
220.836024229,760.00
221.909518727,760.00
222.989302738,760.00
224.058592778,760.00
225.435358854,760.00
226.697313344,760.00
227.765371352,760.00
228.821802967,760.00
229.908708374,760.00
230.940194034,760.00
232.003216677,760.00
233.044124404,760.00
234.095037677,760.00
235.213673218,760.00
236.258795130,760.00
237.324631156,760.00
238.522703528,760.00
239.887089859,760.00
240.911168477,760.00
241.975222384,760.00
243.003650945,760.00
244.081118450,760.00
245.293718097,760.00
246.681049029,760.00
247.738298412,760.00
248.791640524,760.00
249.867502723,760.00
250.950064607,760.00
252.009642912,760.00
253.023491404,760.00
254.105763477,760.00
255.548883358,760.00
256.649582180,760.00
257.716324560,760.00
258.920725119,760.00
259.999143651,760.00
261.096051902,760.00
262.132021976,760.00
263.180019487,760.00
264.250840538,760.00
265.285361909,760.00
266.474577341,760.00
267.562334174,760.00
268.673961302,760.00
269.784751476,760.00
270.857813004,760.00
271.996173168,760.00
273.088819348,760.00
274.135923190,760.00
275.410189957,760.00
276.531917935,760.00
277.630179657,760.00
278.680400043,760.00
279.800838898,760.00
280.905903652,760.00
281.997135765,760.00
283.158058894,760.00
284.192292941,760.00
285.540572996,760.00
286.675651345,760.00
287.985713284,760.00
289.052055751,760.00
290.099783165,760.00
291.169429293,760.00
292.180856150,760.00
293.193938115,760.00
294.288383310,760.00
295.328652398,760.00
296.380900546,760.00
297.443761562,760.00
298.519276180,760.00
299.818747801,760.00
300.950075758,760.00
302.089364098,760.00
303.150050604,760.00
304.165046202,760.00
305.596746148,760.00
306.762123301,760.00
307.803308621,760.00
308.955136109,760.00
309.965327202,760.00
310.991890390,760.00
312.058306660,760.00
313.094411540,760.00
314.169158307,760.00
315.402863618,760.00
316.552056284,760.00
317.727523431,760.00
318.828265069,760.00
319.894026872,760.00
320.995368269,760.00
322.043317905,760.00
323.049230133,760.00
324.131787592,760.00
325.134756106,760.00
326.217697720,760.00
327.265625201,760.00
328.304239197,760.00
329.520558799,760.00
330.606094546,760.00
331.723236247,760.00
332.757944137,760.00
333.881122909,760.00
335.096777814,760.00
336.344643063,760.00
337.380768884,760.00
338.395343106,760.00
339.383375006,760.00
340.549896348,760.00
341.584195708,760.00
342.595886662,760.00
343.688363135,760.00
344.778100952,760.00
346.114263815,760.00
347.194116637,760.00
348.251631139,760.00
349.331668698,760.00
350.368481407,760.00
351.478994826,760.00
352.516841452,760.00
353.538300567,760.00
354.578249280,760.00
355.617840414,760.00
356.730232125,760.00
357.783609335,760.00
358.850643905,760.00
360.130731621,760.00
361.282782901,760.00
362.317720358,760.00
363.377604339,760.00
364.413087301,760.00
365.528836611,760.00
366.808155726,760.00
367.877778355,760.00
368.949640156,760.00
369.975791489,760.00
371.006754168,760.00
372.137751332,760.00
373.274813672,760.00
374.421060004,760.00
375.757074559,760.00
376.879731873,760.00
377.943237375,760.00
378.992851426,760.00
380.027253352,760.00
381.098098141,760.00
382.164269627,760.00
383.289304788,760.00
384.370597441,760.00
385.520403829,760.00
386.568952628,760.00
387.597063216,760.00
388.720787786,760.00
389.799133883,760.00
390.831599258,760.00
391.897243961,760.00
392.964764307,760.00
394.048690632,760.00
395.174636980,760.00
396.499640801,760.00
397.555045911,760.00
398.598079932,760.00
399.672547449,760.00
400.743259503,760.00
401.923044047,760.00
402.941946253,760.00
404.023674874,760.00
405.137577698,760.00
406.362716749,760.00
407.410135711,760.00
408.558472281,760.00
409.604223078,760.00
410.658063872,760.00
411.773842631,760.00
412.878966838,760.00
414.042526730,760.00
415.147686308,760.00
416.204484157,760.00
417.311615432,760.00
418.401258598,760.00
419.849241977,760.00
420.924645185,760.00
422.026096160,760.00
423.147719260,760.00
424.295902662,760.00
425.352815744,760.00
426.507469645,760.00
427.542633658,760.00
428.537204775,760.00
429.559870597,760.00
430.647487163,760.00
431.649541963,760.00
432.662581442,760.00
433.713912405,760.00
434.794624226,760.00
436.141854466,760.00
437.305588195,760.00
438.411183506,760.00
439.469920262,760.00
440.490207184,760.00
441.558703705,760.00
442.667097481,760.00
443.688565115,760.00
444.747563344,760.00
445.979665810,760.00
447.025009529,760.00
448.112656794,760.00
449.178073310,760.00
450.202124411,760.00
451.300276183,760.00
452.388827622,760.00
453.461120649,760.00
454.517934472,760.00
455.900177979,760.00
457.057525076,760.00
458.155457504,760.00
