Timestamp (s),Power (W)
.078382245,999.60
1.349687515,999.60
2.596812599,999.60
3.679502550,999.60
4.761324697,999.60
5.817135175,999.60
6.890496089,999.60
7.986700644,999.60
9.074489763,999.60
10.142405996,999.60
11.310191836,712.00
12.393342347,712.00
13.459927397,712.00
14.557286611,712.00
15.658172652,712.00
16.745604014,712.00
17.816967379,712.00
18.867892651,712.00
19.972146706,712.00
21.066334088,712.00
22.130447111,720.00
23.285042830,720.00
24.336350590,720.00
25.442441185,720.00
26.503345517,720.00
27.628660027,720.00
28.875957733,720.00
29.909607522,720.00
30.996332075,720.00
32.097092340,720.00
33.151293215,720.00
34.225180836,720.00
35.375605370,720.00
36.455841407,720.00
37.512027618,720.00
38.558194213,720.00
39.638769444,720.00
40.729564845,720.00
42.088959351,720.00
43.219835859,720.00
44.308247080,720.00
45.403491178,720.00
46.615107250,720.00
47.721857295,720.00
48.951375305,720.00
50.030949357,720.00
51.112154187,720.00
52.188883788,720.00
53.256613256,720.00
54.331474509,720.00
55.412450834,720.00
56.557697866,720.00
57.678263940,720.00
58.767324369,720.00
59.878239934,720.00
60.916299915,720.00
62.188924241,720.00
63.296303736,720.00
64.371518371,720.00
65.393879840,720.00
66.463496172,720.00
67.488724140,720.00
68.560941618,720.00
69.607082675,720.00
70.924429667,720.00
72.145977546,720.00
73.210042392,720.00
74.241376959,720.00
75.334950369,720.00
76.427889040,720.00
77.450051119,720.00
78.504988318,720.00
79.633092687,720.00
80.738961457,720.00
81.797127703,720.00
82.847134516,720.00
83.916061132,720.00
85.016649812,720.00
86.162620653,720.00
87.211341788,720.00
88.500375055,720.00
89.623899362,720.00
90.840991841,720.00
91.929036082,720.00
92.958085895,720.00
94.038884610,720.00
95.120352221,720.00
96.183390201,720.00
97.265894622,720.00
98.345698385,720.00
99.420412279,720.00
100.587752788,720.00
101.773755898,720.00
103.027207222,720.00
104.040000837,720.00
105.084928335,720.00
106.158839752,720.00
107.208274119,720.00
108.399098542,720.00
109.619665310,720.00
110.800383454,720.00
111.877530051,720.00
112.965157497,728.00
114.087198907,728.00
115.085045703,728.00
116.228945221,728.00
117.324769501,728.00
118.432566795,728.00
119.455835146,728.00
120.578467842,728.00
121.809083583,728.00
123.023216756,728.00
124.043503452,720.00
125.134506622,720.00
126.164321812,720.00
127.186164380,720.00
128.204026780,720.00
129.275310510,720.00
130.316222294,720.00
131.601136954,720.00
132.721951585,720.00
133.830647523,720.00
134.926481935,728.00
136.030784358,728.00
137.117922133,728.00
138.160878457,728.00
139.182263159,728.00
140.232303027,728.00
141.332996879,728.00
142.421130212,728.00
143.525359687,728.00
144.632358652,728.00
145.740129470,728.00
146.837966471,728.00
148.056412232,728.00
149.299877636,728.00
150.326413965,728.00
151.383339650,728.00
152.445063553,728.00
153.524232395,728.00
154.648143414,728.00
155.773334332,728.00
156.872112957,728.00
157.926844610,728.00
159.081513122,728.00
160.132227579,728.00
161.228543396,728.00
162.442955905,728.00
163.516996493,728.00
164.562794042,728.00
165.623917277,728.00
166.735436639,728.00
167.817984563,728.00
169.081369669,728.00
170.186458028,728.00
171.215810965,728.00
172.299540317,728.00
173.384038572,728.00
174.444190438,728.00
175.478166865,728.00
176.569305673,728.00
177.623967945,728.00
178.722533015,728.00
179.795615124,728.00
180.965067094,728.00
182.270513275,728.00
183.406822189,728.00
184.436187671,728.00
185.556095502,728.00
186.688837999,728.00
187.824872544,728.00
188.882130977,728.00
190.012529841,728.00
191.364175460,728.00
192.469826501,728.00
193.527858877,728.00
194.624934964,728.00
195.726237944,728.00
196.852469318,728.00
197.920662545,728.00
199.053380902,728.00
200.159998950,728.00
201.229878938,728.00
202.246369850,728.00
203.338161311,728.00
204.429672646,728.00
205.493167933,728.00
206.548127027,728.00
207.565122597,728.00
208.841832168,728.00
209.940498970,728.00
211.071498945,728.00
212.168546973,728.00
213.289131195,728.00
214.273139237,728.00
215.397075551,728.00
216.443864058,728.00
217.516446827,728.00
218.593104641,728.00
219.608333995,728.00
220.686865022,728.00
222.015951855,728.00
223.192234638,728.00
224.307951294,728.00
225.362848740,728.00
226.470036858,728.00
227.511655517,728.00
228.799022428,728.00
229.972768625,728.00
231.050991869,728.00
232.144279078,728.00
233.195991062,728.00
234.297090203,728.00
235.311107614,728.00
236.388378064,728.00
237.483704490,728.00
238.520850743,728.00
239.624682124,728.00
240.744380644,728.00
242.085568306,728.00
243.266979186,728.00
244.308522803,728.00
245.346808253,728.00
246.385032530,728.00
247.488958650,728.00
248.550465582,728.00
249.615262859,728.00
250.907856607,728.00
252.142044075,728.00
253.188426166,728.00
254.272012385,728.00
255.351895967,728.00
256.402832713,728.00
257.458742905,728.00
258.524972598,728.00
259.617693168,728.00
260.654647842,728.00
261.710965622,728.00
262.785087657,728.00
263.863451023,728.00
264.962728649,728.00
266.114156578,728.00
267.244369245,728.00
269.346529038,728.00
270.392159040,728.00
271.513065411,728.00
272.567495083,728.00
273.636324647,728.00
274.674379013,728.00
275.730562249,728.00
276.814083331,728.00
277.865476922,728.00
279.026539582,728.00
280.094670853,728.00
281.155914240,728.00
282.434462843,728.00
283.491895453,728.00
284.597643755,728.00
285.818434832,728.00
286.891034262,728.00
287.905818593,728.00
289.204494382,728.00
290.284613707,728.00
291.450788385,728.00
292.511989963,728.00
293.667865559,728.00
