Timestamp (s),Power (W)
.079009991,529.20
1.408074300,529.20
2.565935004,529.20
3.852091391,529.20
5.132592987,529.20
6.401117703,529.20
7.612706230,529.20
8.861254554,529.20
10.106798035,529.20
11.342586803,832.00
12.618989423,832.00
13.898019806,832.00
15.116902972,832.00
16.360904918,832.00
17.595794145,832.00
18.814879810,832.00
20.062112916,832.00
21.312319180,832.00
22.501841798,848.00
23.982143207,848.00
25.215420575,848.00
26.479046195,848.00
27.689991612,848.00
28.925937604,848.00
30.252254477,848.00
31.501852185,848.00
32.713875845,848.00
34.066868774,848.00
35.407695879,848.00
36.684465096,848.00
37.964848633,848.00
39.149413847,848.00
40.410175470,848.00
41.575476479,848.00
42.808567951,848.00
44.075696370,848.00
45.350878792,856.00
46.656163534,856.00
48.170834226,856.00
49.529814221,856.00
50.713269861,856.00
51.954242613,856.00
53.384605373,856.00
54.701587832,856.00
56.014002773,856.00
57.278214395,856.00
58.600965033,856.00
59.801632639,856.00
61.079670962,856.00
62.378065780,856.00
63.942853392,856.00
65.249700418,856.00
66.454460662,856.00
67.707463447,856.00
68.945609856,856.00
70.287349303,856.00
71.508401372,856.00
72.696516785,856.00
74.012756751,856.00
75.262233945,856.00
76.576201446,856.00
77.939021239,856.00
79.273187057,856.00
80.584423473,856.00
81.882433502,856.00
83.183669167,856.00
84.673173712,856.00
85.966299461,856.00
87.277969581,856.00
88.529724227,856.00
89.758123766,856.00
91.043459066,856.00
92.431386170,856.00
93.976789293,856.00
95.362621675,856.00
96.588511231,856.00
97.788313595,856.00
99.061389840,856.00
100.381561613,856.00
101.612777583,856.00
102.900544541,856.00
104.183813273,856.00
105.610766076,856.00
106.865749018,856.00
108.354574337,856.00
109.640476308,856.00
110.875175467,856.00
112.139217879,856.00
113.458273744,856.00
114.728760300,856.00
116.092304123,856.00
117.406207863,856.00
118.673241456,856.00
119.927795467,856.00
121.279478726,856.00
122.566428619,856.00
123.936947391,856.00
125.182420010,856.00
126.446329435,856.00
127.724292217,856.00
129.117748907,856.00
130.418866692,856.00
131.644950576,856.00
132.924884938,856.00
134.210400036,856.00
135.458165372,856.00
136.692709641,856.00
137.970294535,856.00
139.432712344,2040.00
140.712109751,2040.00
141.912658731,2040.00
143.218531931,2040.00
144.487330753,2040.00
145.707603016,2040.00
146.905853239,2040.00
148.332782764,2040.00
149.528489572,2040.00
150.762679572,856.00
152.124390306,856.00
153.436832212,856.00
154.698280305,856.00
155.910076158,856.00
157.166217079,856.00
158.649933488,856.00
159.993105127,856.00
161.268864049,856.00
162.534976107,856.00
163.753992865,856.00
165.033630953,856.00
166.312095016,856.00
167.584875602,856.00
169.057415809,856.00
170.268932301,856.00
171.493998312,856.00
172.722854138,856.00
173.946986732,856.00
175.271503975,856.00
176.613580027,856.00
177.729933212,856.00
179.227692037,856.00
180.484210977,856.00
181.674435417,856.00
182.870000799,856.00
184.446904225,856.00
185.767797735,856.00
187.163313465,856.00
188.476428020,856.00
189.721217894,856.00
190.914667544,856.00
192.078181255,856.00
193.378885695,856.00
194.661685839,856.00
195.922600398,856.00
197.233852460,856.00
198.885481207,856.00
200.068864099,856.00
201.237312631,856.00
202.468750244,856.00
203.725969775,856.00
204.965321974,856.00
206.337760515,856.00
207.626641813,856.00
209.029265194,856.00
210.381642697,856.00
211.613057370,856.00
212.809582928,856.00
213.957403070,856.00
215.201086763,856.00
216.433901577,856.00
217.799545692,856.00
219.284990985,856.00
220.484776758,856.00
221.839476831,856.00
223.104258846,856.00
224.402418079,856.00
225.573369277,856.00
226.798966940,856.00
228.403348843,856.00
229.731141039,856.00
230.887549043,856.00
232.268496447,856.00
233.683647561,856.00
234.893765182,856.00
236.254001255,856.00
237.518786284,856.00
238.965986126,856.00
240.294863100,856.00
241.569785774,856.00
242.795711017,856.00
244.134544767,856.00
245.674306657,856.00
246.889099845,856.00
248.201090249,856.00
249.557861342,856.00
250.841441281,856.00
252.080446525,856.00
253.225980167,856.00
254.492768221,856.00
255.740187566,856.00
257.085498104,856.00
258.524024318,856.00
259.968815907,856.00
261.178733613,856.00
262.458271161,856.00
263.781637367,856.00
265.019518135,856.00
266.345444520,856.00
267.560295525,856.00
269.178750359,856.00
270.422454393,856.00
271.721270196,856.00
272.922308139,856.00
274.172230325,856.00
275.461808213,856.00
276.762511449,856.00
277.991253733,856.00
279.465622667,856.00
280.830399090,856.00
282.086189329,856.00
283.200050448,856.00
284.504977243,856.00
285.768867447,856.00
287.073685176,856.00
288.556542063,856.00
289.912690110,856.00
291.219994616,856.00
292.519777690,856.00
293.800726180,856.00
294.990836856,856.00
296.308389937,856.00
297.551215405,856.00
299.088055260,856.00
300.285816966,856.00
301.550004704,856.00
302.808388199,856.00
304.286111589,856.00
305.626423056,856.00
306.879771261,856.00
308.192764030,856.00
309.475689758,856.00
310.785118892,856.00
312.075586677,856.00
313.378057628,856.00
314.528749483,856.00
315.844201172,856.00
317.020288843,856.00
318.366806299,856.00
319.733790112,856.00
321.021561416,856.00
322.205812139,856.00
323.392263627,856.00
324.639485520,856.00
325.897592490,856.00
327.188543449,856.00
328.547818032,856.00
329.989391683,856.00
331.279577971,856.00
332.598965190,856.00
333.893362627,856.00
335.139479100,856.00
336.419969781,856.00
337.763722883,856.00
339.334298548,856.00
340.584498040,856.00
341.833104743,856.00
343.103177648,856.00
344.323467520,856.00
345.612794374,856.00
346.917241456,856.00
348.203918148,856.00
349.659957129,856.00
350.987669164,856.00
352.260064021,856.00
353.494793888,856.00
354.803927361,856.00
356.158801113,856.00
357.389992672,856.00
358.912571510,856.00
360.231402719,856.00
361.470747680,856.00
362.757386722,856.00
364.112763524,856.00
365.494879895,856.00
366.736885946,856.00
367.969320249,856.00
369.262785349,856.00
370.522936863,856.00
371.668491140,856.00
372.927403939,856.00
