Timestamp (s),Power (W)
.080734044,529.20
1.354529793,529.20
2.449096948,529.20
3.586248820,529.20
4.744560366,529.20
5.854803879,529.20
7.124528038,529.20
8.407686031,529.20
9.529948242,529.20
10.660959518,529.20
11.754200619,688.00
12.921830205,688.00
13.993545570,688.00
15.133212137,688.00
16.202626026,688.00
17.202453684,688.00
18.567454838,688.00
19.688618775,688.00
20.713370063,688.00
21.810209331,688.00
22.896032876,720.00
24.043998675,720.00
25.203889289,720.00
26.214523253,720.00
27.561911181,720.00
28.671259728,720.00
29.741808614,720.00
30.847458052,720.00
31.904756208,720.00
33.025386756,720.00
34.100923833,720.00
35.445951616,720.00
36.595133920,720.00
37.745500671,720.00
38.780780102,720.00
39.841760552,720.00
40.886955911,720.00
41.923300099,720.00
42.948516635,720.00
44.002282100,720.00
45.031194497,720.00
46.131664946,720.00
47.157911368,720.00
48.523438580,720.00
49.676256320,720.00
50.731124216,720.00
51.771607712,720.00
52.803571512,720.00
53.910251706,720.00
55.120028698,720.00
56.251623021,720.00
57.341543386,720.00
58.461742510,720.00
59.527974608,720.00
60.592670793,720.00
61.749261163,720.00
62.849055701,720.00
63.907528263,720.00
65.014425432,720.00
66.177243953,720.00
67.438518353,720.00
68.648007480,720.00
69.783661746,720.00
70.884981833,720.00
71.945608999,720.00
72.999596071,720.00
74.038703563,720.00
75.098194227,720.00
76.227076157,720.00
77.271565120,720.00
78.586714854,720.00
79.850074098,720.00
80.918978165,720.00
81.985961064,720.00
83.041065559,720.00
84.044645072,720.00
85.121107236,720.00
86.176442440,720.00
87.550430125,720.00
88.688960007,720.00
89.718111115,720.00
90.881827830,720.00
91.963118903,720.00
92.998218784,720.00
94.041318238,720.00
95.212246492,720.00
96.393057651,720.00
97.453157680,720.00
98.489393396,720.00
99.588381089,720.00
100.637239292,728.00
101.736227818,728.00
102.762773499,728.00
103.840459692,728.00
104.866579100,728.00
105.903950523,728.00
107.018184919,728.00
108.407445545,728.00
109.666107941,728.00
110.766376264,728.00
111.787927756,720.00
112.927498957,720.00
113.969604586,720.00
115.176978308,720.00
116.457202873,720.00
117.565669289,720.00
118.638348495,720.00
119.694883125,720.00
120.772964765,720.00
121.923111023,720.00
123.032970841,728.00
124.162120147,728.00
125.165038429,728.00
126.238638716,728.00
127.605620989,728.00
128.788045835,728.00
129.902445286,728.00
130.977399834,728.00
132.044094361,728.00
133.111861302,728.00
134.185893408,728.00
135.254080165,728.00
136.221072522,728.00
137.247042432,728.00
138.466661325,728.00
139.633474129,728.00
140.741422407,728.00
141.827661647,728.00
142.915382028,728.00
143.989966748,728.00
145.030116079,728.00
146.144851844,728.00
147.518249844,728.00
148.676524669,728.00
149.698202908,728.00
150.763946363,728.00
151.839231385,728.00
152.919325999,728.00
153.931527696,728.00
155.113967956,728.00
156.469901137,728.00
157.691193336,728.00
158.847579548,728.00
159.884985172,728.00
161.002085360,728.00
162.078378209,728.00
163.147677332,728.00
164.219123518,728.00
165.238113929,728.00
166.257382376,728.00
167.322459935,728.00
168.808684451,728.00
169.841105580,728.00
170.883009269,728.00
171.963282871,728.00
173.020994183,728.00
174.045213238,728.00
175.151404987,728.00
176.401428174,728.00
177.443649712,728.00
178.448934326,728.00
179.540149740,728.00
180.617490079,728.00
181.729765384,728.00
182.769403246,728.00
183.839378505,728.00
184.860366075,728.00
185.911564322,728.00
187.187339081,728.00
188.330432899,728.00
189.394690172,728.00
190.534630066,728.00
191.611125776,728.00
192.669444053,728.00
193.743966236,728.00
194.861015771,728.00
195.923563591,728.00
197.009018021,728.00
198.266096082,728.00
199.515593439,728.00
200.635352331,728.00
201.687281599,728.00
202.813007852,728.00
203.883484295,728.00
204.958999046,728.00
206.076710825,728.00
207.347578356,728.00
208.499457927,728.00
209.541794994,728.00
210.743268205,728.00
211.789701310,728.00
212.869894362,728.00
213.963042610,728.00
215.042783841,728.00
216.206449109,728.00
217.248322047,728.00
218.257617874,728.00
219.254000734,728.00
220.271449547,728.00
221.473594435,728.00
222.552880820,728.00
223.579416575,728.00
224.623372795,728.00
225.703597649,728.00
226.809055862,728.00
227.965226410,728.00
229.113019802,728.00
230.193169462,728.00
231.299637364,728.00
232.372079205,728.00
233.421509287,728.00
234.478783737,728.00
235.821261796,728.00
237.015290037,728.00
238.107222069,728.00
239.161681990,728.00
240.210076336,728.00
241.271173959,728.00
242.348797375,728.00
243.456934439,728.00
244.532636305,728.00
245.563182599,728.00
246.649362425,728.00
247.836969284,728.00
248.922035542,728.00
249.970756587,728.00
250.993286554,728.00
252.024369224,728.00
253.140970378,728.00
254.196036960,728.00
255.242779568,728.00
256.260804822,728.00
257.262677147,728.00
258.620637238,728.00
259.711195683,728.00
260.771625682,728.00
261.840259764,728.00
262.997106195,728.00
264.040401701,728.00
265.130985912,728.00
266.198948241,728.00
267.460828656,728.00
268.579699579,728.00
269.653058417,728.00
270.791951811,728.00
271.872256988,728.00
272.991056981,728.00
274.137681956,728.00
275.219549613,728.00
276.445931266,728.00
277.521056200,728.00
278.620324377,728.00
279.671806384,728.00
280.838130400,728.00
281.994006803,728.00
283.043284166,728.00
284.030132619,728.00
285.110460185,728.00
286.178970072,728.00
287.324961518,728.00
288.651686750,728.00
289.820379135,728.00
290.897493012,728.00
291.972928833,728.00
293.147482457,728.00
294.269148128,728.00
295.440298201,728.00
296.734123139,728.00
297.825396484,728.00
298.905138759,728.00
299.995193582,728.00
301.068387543,728.00
302.199766631,728.00
303.276617089,728.00
304.422437060,728.00
305.528614804,728.00
306.512458929,728.00
307.844123428,728.00
308.841226473,728.00
309.899694377,728.00
310.967436510,728.00
312.010401247,728.00
313.112952811,728.00
314.284979399,728.00
315.418334461,728.00
316.457699036,728.00
317.586136515,728.00
318.883540320,728.00
319.849522334,728.00
320.924315335,728.00
321.994095267,728.00
323.128962724,728.00
324.205363833,728.00
325.306457552,728.00
326.437549177,728.00
327.789081618,728.00
328.834626147,728.00
329.854392018,728.00
330.900636947,728.00
331.938653506,728.00
332.932238670,728.00
333.945987985,728.00
335.018144246,728.00
