STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595132854 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 65
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5842675601
CPU_CLOCKS_UNHALTED,PMC1,2356525027
RETIRED_UOPS,PMC2,5907550986
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 65,
Runtime (RDTSC) [s],21.4253,
Runtime unhalted [s],0.9081,
Clock [MHz],-,
CPI,0.4033,
CPI (based on uops),0.3989,
IPC,2.4794,
