STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595149495 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 66
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,3046112044897
CPU_CLOCKS_UNHALTED,PMC1,1648419802242
DATA_CACHE_ACCESSES,PMC2,1519398282560
DATA_CACHE_REFILLS_ALL,PMC3,7343916025
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 66,
Runtime (RDTSC) [s],667.0252,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5412,
data cache requests,1519398282560,
data cache request rate,0.4988,
data cache misses,7343916025,
data cache miss rate,0.0024,
data cache miss ratio,0.0048,
